"symbol,name,exchange,universe"
"AAPL.US,Apple Inc.,NASDAQ,NASDAQ100"
"MSFT.US,Microsoft Corporation,NASDAQ,NASDAQ100"
"AMZN.US,Amazon.com Inc.,NASDAQ,NASDAQ100"
"NVDA.US,NVIDIA Corporation,NASDAQ,NASDAQ100"
"GOOGL.US,Alphabet Inc. Class A,NASDAQ,NASDAQ100"
"META.US,Meta Platforms Inc.,NASDAQ,NASDAQ100"
"TSLA.US,Tesla Inc.,NASDAQ,NASDAQ100"
"SPY.US,SPDR S&P 500 ETF Trust,NYSEARCA,SP500"
"QQQ.US,Invesco QQQ Trust,NASDAQ,NASDAQ100"
"JPM.US,JPMorgan Chase & Co.,NYSE,SP500"
"JNJ.US,Johnson & Johnson,NYSE,SP500"
"XOM.US,Exxon Mobil Corporation,NYSE,SP500"
